"","Product_code","Price_kg","date","week"
"1","23068096",120,2565-01-03,"01"
"2","23068096",124,2565-01-13,"02"
"3","23068096",124,2565-01-18,"03"
"5","23068096",117,2565-01-26,"04"
"7","23068096",106,2565-02-03,"05"
"8","23068096",100,2565-02-10,"06"
"11","23068096",91,2565-02-17,"07"
"12","23068096",90,2565-02-24,"08"
"13","23068096",90,2565-03-01,"09"
"15","23068096",95,2565-03-10,"10"
"16","23068096",97,2565-03-17,"11"
"17","23068096",98,2565-03-18,"12"
"18","23068096",99,2565-03-25,"13"
"19","23068096",104,2565-04-01,"14"
"20","23068096",105,2565-04-09,"15"
"23","23068096",109,2565-04-17,"16"
"25","23068096",111,2565-04-24,"17"
"27","23068096",114,2565-04-30,"18"
