ProductNameEng,ราคาไหล่TT,shoulder_demand,shoulder_supply,SL,คอหมูย่างTT,คอหมูย่างTT_demand,คอหมูย่างTT_supply,,ซี่โครงแผ่นTT,ซี่โครงแผ่นTT_demand,ซี่โครงแผ่นTT_supply,,สะโพกTT,สะโพกTT_demand,สะโพกTT_supply,,สันในTT,สันในTT_demand,สันในTT_supply,,สันคอTT,สันคอTT_demand,สันคอTT_supply,,สันนอกTT,สันนอกTT_demand,สันนอกTT_supply,,สามชั้นTT,สามชั้นTT_demand,สามชั้นTT_supply,,,,,,,,,,,,,
WK 1-2022,159,"337,705","302,308",89.52,258,"60,220","34,719",57.65,164,"186,436","152,723",81.92,164,"633,152","550,044",86.87,184,"30,082","26,031",86.53,214,"184,929","150,358",81.31,178,"229,046","196,563",85.82,205,"344,538","300,658",87.26,,,,,,,,,,,,
WK 2-2022,168,"207,194","199,895",96.48,270,"34,516","27,289",79.06,171,"122,976","105,856",86.08,174,"433,769","420,474",96.93,192,"21,881","20,115",91.93,231,"131,246","117,169",89.27,185,"153,002","148,130",96.82,209,"248,304","219,171",88.27,,,,,,,,,,,,
WK 3-2022,162,"190,530","184,622",96.9,274,"25,246","21,109",83.61,162,"111,088","95,526",85.99,176,"380,864","367,252",96.43,187,"20,958","18,086",86.3,222,"114,809","101,888",88.75,176,"171,620","164,255",95.71,210,"247,805","217,484",87.76,,,,,,,,,,,,
WK 4-2022,163,"194,317","189,584",97.56,269,"31,937","23,864",74.72,161,"120,168","106,703",88.8,169,"434,412","404,591",93.14,183,"23,049","20,474",88.83,233,"121,815","106,577",87.49,175,"199,403","159,100",79.79,202,"281,657","255,376",90.67,,,,,,,,,,,,
WK 5-2022,141,"229,365","222,475",97,260,"32,008","24,851",77.64,154,"123,350","105,717",85.7,157,"421,971","408,130",96.72,176,"21,027","18,618",88.54,215,"112,020","105,223",93.93,163,"189,370","172,778",91.24,190,"312,280","248,116",79.45,,,,,,,,,,,,
WK 6-2022,145,"230,527","221,508",96.09,256,"31,685","24,961",78.78,149,"135,481","116,396",85.91,148,"470,358","453,935",96.51,164,"24,230","22,039",90.96,218,"126,189","117,650",93.23,155,"203,004","191,807",94.48,179,"271,499","251,441",92.61,,,,,,,,,,,,
WK 7-2022,132,"271,413","260,995",96.16,248,"33,449","27,232",81.41,137,"152,450","130,024",85.29,136,"509,622","491,172",96.38,153,"27,227","24,992",91.79,209,"124,998","117,264",93.81,144,"213,666","202,888",94.96,167,"288,287","268,515",93.14,,,,,,,,,,,,
WK 8-2022,121,"315,438","290,413",92.07,229,"29,417","24,852",84.48,125,"179,957","150,719",83.75,126,"589,781","540,206",91.59,138,"31,257","27,000",86.38,198,"132,745","119,272",89.85,129,"250,135","232,828",93.08,152,"365,487","330,434",90.41,,,,,,,,,,,,
WK 9-2022,120,"362,283","332,523",91.79,225,"35,982","31,837",88.48,123,"191,250","152,730",79.86,126,"647,008","591,278",91.39,135,"34,531","29,237",84.67,195,"134,628","115,670",85.92,126,"291,115","260,663",89.54,146,"453,490","404,943",89.29,,,,,,,,,,,,
WK 10-2022,124,"399,784","367,808",92,227,"35,703","31,894",89.33,125,"210,448","175,772",83.52,130,"726,369","640,817",88.22,139,"31,880","28,232",88.56,195,"127,490","119,348",93.61,128,"327,130","302,907",92.6,152,"529,574","460,031",86.87,,,,,,,,,,,,
WK 11-2022,131,"335,546","317,423",94.6,232,"32,275","27,281",84.53,126,"206,000","174,518",84.72,136,"618,565","590,532",95.47,137,"33,545","30,773",91.73,199,"135,052","121,704",90.12,134,"286,643","264,723",92.35,157,"474,113","407,312",85.91,,,,,,,,,,,,
WK 12-2022,135,"311,870","296,916",95.2,226,"37,618","31,381",83.42,129,"218,740","164,008",74.98,139,"627,073","600,545",95.77,141,"32,324","29,223",90.41,201,"144,896","133,928",92.43,136,"286,373","261,141",91.19,159,"513,862","428,344",83.36,,,,,,,,,,,,
WK 13-2022,137,"349,648","335,576",95.98,218,"43,855","36,102",82.32,131,"253,223","168,978",66.73,141,"625,884","595,271",95.11,143,"35,802","31,697",88.53,203,"159,117","150,815",94.78,139,"308,486","274,576",89.01,163,"563,761","460,998",81.77,,,,,,,,,,,,
WK 14-2022,140,"353,069","319,887",90.6,219,"64,096","39,225",61.2,137,"308,306","182,196",59.1,144,"659,948","598,122",90.63,146,"40,154","33,901",84.43,205,"173,418","164,094",94.62,145,"322,565","265,342",82.26,169,"565,097","437,532",77.43,,,,,,,,,,,,
WK 15-2022,144,"395,962","350,055",88.41,218,"74,320","38,559",51.88,140,"310,919","172,917",55.61,147,"704,545","612,540",86.94,149,"45,449","34,211",75.27,206,"182,141","169,696",93.17,149,"303,881","249,129",81.98,173,"517,258","423,836",81.94,,,,,,,,,,,,
WK 16-2022,145,,,,226,,,,145,,,,149,,,,151,,,,202,,,,152,,,,174,,,,,,,,,,,,,,,
WK 17-2022,150,,,,235,,,,150,,,,155,,,,157,,,,193,,,,158,,,,178,,,,,,,,,,,,,,,
WK 18-2022,153,,,,240,,,,152,,,,158,,,,161,,,,209,,,,162,,,,180,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ราคา,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,demand,supply
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-718438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,237.6494327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
