"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods"
3,23057677,"สามชั้นTT",220,"1/20/2022",124,72576,82774,"สามชั้น","220",190,214
4,23057677,"สามชั้นTT",201,"1/27/2022",117,70849,79094,"สามชั้น","201",190,204
5,23057677,"สามชั้นTT",191,"2/3/2022",106,67821,68521,"สามชั้น","191",180,194
6,23057677,"สามชั้นTT",179,"2/10/2022",100,44132,66944,"สามชั้น","179",180,174
7,23057677,"สามชั้นTT",167,"2/17/2022",91,49522,71047,"สามชั้น","167",165,166
8,23057677,"สามชั้นTT",155,"2/22/2022",90,51555,86008,"สามชั้น","155",155,166
9,23057677,"สามชั้นTT",155,"3/1/2022",90,54676,88928,"สามชั้น","150",160,166
10,23057677,"สามชั้นTT",154,"3/9/2022",95,55856,122098,"สามชั้น","154",163,172
11,23057677,"สามชั้นTT",157,"3/17/2022",97,70887,135281,"สามชั้น","157",165,169
12,23057677,"สามชั้นTT",157,"3/24/2022",98,97742,143491,"สามชั้น","157",165,169
13,23057677,"สามชั้นTT",165,"3/31/2022",99,111534,134206,"สามชั้น","166",167,169
14,23057677,"สามชั้นTT",170,"4/7/2022",104,100815,146728,"สามชั้น","171",170,174
15,23057677,"สามชั้นTT",174,"4/11/2022",105,122952,115788,"สามชั้น","177",174,174
16,23057677,"สามชั้นTT",176,"4/21/2022",109,108950,98273,"สามชั้น","177",174,174
17,23057677,"สามชั้นTT",183,"4/28/2022",111,99242,99544,"สามชั้น","185",176,178
18,23057677,"สามชั้นTT",185,"5/5/2022",114,86721,92782,"สามชั้น","185",178,181
19,23057677,"สามชั้นTT",195,"5/12/2022",120,92500,88399,"สามชั้น","195",183,184
20,23057677,"สามชั้นTT",197,"5/19/2022",123,91449,84762,"สามชั้น","197",186,184
21,23057677,"สามชั้นTT",197,"5/26/2022",125,80711,83364,"สามชั้น","197",192,186
22,23057677,"สามชั้นTT",199,"2/6/2022",127,74335,85004,"สามชั้น","199",193,186
23,NA,NA,NA,NA,NA,88442,46174,"สามชั้น","196",193,186
