week,Product_code,Product_name,Price_kg,date,halfpigprice,quota,Order,Part,CP,Betagro,Thaifoods,BKK Remainder,Mid Remainder,Average
11,23057671,คอหมูย่างTT,255,3/17/2022,97,10834,10920,คอหมูย่าง,255,270,258,326.45,1215,173.5714286
12,23057671,คอหมูย่างTT,235,3/23/2022,98,10736,13323,คอหมูย่าง,235,270,258,945.35,1723.14,246.1628571
13,23057671,คอหมูย่างTT,235,3/30/2022,99,10107,14137,คอหมูย่าง,236,270,258,58.91,632.45,90.35
14,23057671,คอหมูย่างTT,235,4/6/2022,104,11780,22558,คอหมูย่าง,236,270,260,449.05,1238.46,176.9228571
15,23057671,คอหมูย่างTT,235,4/13/2022,105,14406,28156,คอหมูย่าง,260,270,263,55.48,687.22,98.17428571
16,23057671,คอหมูย่างTT,259,4/21/2022,109,11003,38293,คอหมูย่าง,260,270,263,183.18,597.85,85.40714286
17,23057671,คอหมูย่างTT,263,4/28/2022,111,12436,33574,คอหมูย่าง,268,270,267,22.74,423.98,60.56857143
18,23057671,คอหมูย่างTT,265,5/5/2022,114,12471,33937,คอหมูย่าง,265,270,269,18.28,1053.73,150.5328571
19,23057671,คอหมูย่างTT,270,5/12/2022,120,12485,46715,คอหมูย่าง,270,272,274,188.4,824.12,117.7314286
20,23057671,คอหมูย่างTT,275,5/19/2022,123,11726,52679,คอหมูย่าง,275,278,279,40.67,168.18,24.02571429
21,23057671,คอหมูย่างTT,280,5/26/2022,125,11196,45439,คอหมูย่าง,280,282,283,189.96,351.5,50.21428571
