"week","Product_code","Product_name","Price_kg","date","halfpigprice"
1,23069300,"ชิ้นเนื้อหมูบดTT",151,"1/6/2022","120"
2,23069300,"ชิ้นเนื้อหมูบดTT",152,"1/13/2022","124"
3,23069300,"ชิ้นเนื้อหมูบดTT",149,"1/20/2022","124"
4,23069300,"ชิ้นเนื้อหมูบดTT",139,"1/27/2022","117"
5,23069300,"ชิ้นเนื้อหมูบดTT",128,"2/3/2022","106"
6,23069300,"ชิ้นเนื้อหมูบดTT",115,"2/10/2022","100"
7,23069300,"ชิ้นเนื้อหมูบดTT",106,"2/17/2022","91"
8,23069300,"ชิ้นเนื้อหมูบดTT",100,"2/22/2022","90"
9,23069300,"ชิ้นเนื้อหมูบดTT",100,"3/1/2022","90"
10,23069300,"ชิ้นเนื้อหมูบดTT",109,"3/9/2022","95"
11,23069300,"ชิ้นเนื้อหมูบดTT",115,"3/16/2022","97"
12,23069300,"ชิ้นเนื้อหมูบดTT",114,"3/24/2022","98"
13,23069300,"ชิ้นเนื้อหมูบดTT",119,"3/31/2022","99"
14,23069300,"ชิ้นเนื้อหมูบดTT",121,"4/7/2022","104"
15,23069300,"ชิ้นเนื้อหมูบดTT",123,"4/11/2022","105"
16,23069300,"ชิ้นเนื้อหมูบดTT",129,"4/21/2022","109"
17,23069300,"ชิ้นเนื้อหมูบดTT",134,"4/28/2022","111"
18,23069300,"ชิ้นเนื้อหมูบดTT",140,"5/5/2022","114"
19,23069300,"ชิ้นเนื้อหมูบดTT",151,"5/12/2022","120"
20,23069300,"ชิ้นเนื้อหมูบดTT",161,"5/19/2022","123"
21,23069300,"ชิ้นเนื้อหมูบดTT",161,"5/26/2022","125"
22,23069300,"ชิ้นเนื้อหมูบดTT",163,"2/6/2022","127"
