"week","Product_code","Product_name","Price_kg","date","halfpigprice","quota","Order","Part","CP","Betagro","Thaifoods","BKK Remainder","กทม.","กลาง","ตะวันตก","ตะวันออก","Mid Remainder","Average"
3,23057676,"สันคอTT",239,"1/20/2022",124,33985,38656,"สันคอ","239",190,212,434.66,434.66,332.66,1558.99,50.79,2377.1,339.5857143
4,23057676,"สันคอTT",239,"1/27/2022",117,29990,37346,"สันคอ","239",190,202,230.18,230.18,356,261.78,170.7,1018.66,145.5228571
5,23057676,"สันคอTT",239,"2/3/2022",106,27239,33874,"สันคอ","239",185,192,140.89,140.89,204.86,403.89,11,760.64,108.6628571
6,23057676,"สันคอTT",234,"2/10/2022",100,24377,33796,"สันคอ","234",177,174,247.63,247.63,194.18,187.77,504.64,1134.22,162.0314286
7,23057676,"สันคอTT",230,"2/17/2022",91,23717,33828,"สันคอ","230",160,166,148.38,148.38,323.18,227.34,208.14,907.04,129.5771429
8,23057676,"สันคอTT",226,"2/22/2022",90,25143,34598,"สันคอ","226",160,166,152,152,283.39,118.33,409.87,963.59,137.6557143
9,23057676,"สันคอTT",226,"3/1/2022",90,23553,34645,"สันคอ","226",200,170,380.62,380.62,390.5,579.09,430.5,1780.71,254.3871429
10,23057676,"สันคอTT",226,"3/9/2022",95,28745,34399,"สันคอ","226",195,170,63.38,63.38,99.16,333.59,83.02,579.15,82.73571429
11,23057676,"สันคอTT",225,"3/17/2022",97,30166,33269,"สันคอ","225",198,170,246.5,246.5,1272.14,608.76,82.05,2209.45,315.6357143
12,23057676,"สันคอTT",225,"3/24/2022",98,37169,40086,"สันคอ","225",198,170,54.29,54.29,175.09,249.79,NA,479.17,68.45285714
13,23057676,"สันคอTT",225,"3/31/2022",99,35483,45579,"สันคอ","226",198,170,NA,NA,1482.54,258.4,13.7,1754.64,250.6628571
14,23057676,"สันคอTT",225,"4/7/2022",104,48094,50456,"สันคอ","226",200,175,87.92,87.92,2280.21,25.98,101.61,2495.72,356.5314286
15,23057676,"สันคอTT",225,"4/14/2022",105,60625,48523,"สันคอ","231",205,178,131.25,131.25,1619.92,833.89,100.89,2685.95,383.7071429
16,23057676,"สันคอTT",230,"4/21/2022",109,43570,35465,"สันคอ","231",205,178,105.43,105.43,1191.39,326.74,100.9,1724.46,246.3514286
17,23057676,"สันคอTT",232,"4/28/2022",111,36101,31197,"สันคอ","234",209,182,125.25,125.25,578.19,207.82,18.44,929.7,132.8142857
18,23057676,"สันคอTT",232,"5/5/2022",114,46144,37667,"สันคอ","232",211,186,39.34,39.34,2057.1,78.49,44.4,2219.33,317.0471429
19,23057676,"สันคอTT",233,"5/12/2022",120,42919,37879,"สันคอ","233",220,190,363.1,363.1,888.51,219.81,106.55,1577.97,225.4242857
20,23057676,"สันคอTT",220,"5/19/2022",123,37943,32561,"สันคอ","220",225,195,27.7,27.7,2955.55,206.46,243.35,3433.06,490.4371429
21,23057676,"สันคอTT",220,"5/26/2022",125,31246,44382,"สันคอ","220",233,199,40.19,40.19,3131.21,221.08,179.4,3571.88,510.2685714
22,23057676,"สันคอTT",216,"2/6/2022",127,39908,43934,"สันคอ","216",233,199,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,38992,23458,"สันคอ","211",233,199,NA,NA,NA,NA,NA,NA,NA
